Company,Symbol,Marketprice,previousClosePrice,changeInPrice,pe_ratio,eps_ratio,Volume,MarketCap
Palantir Technologies Inc.,PLTR,6.42,6.4,0.02,0,-0.28,27393060,12.871B
Cboe Global Markets Inc.,CBOE,125.47,127.18,-1.71,29.99,4.18,351597,13.38B
Sasa Polyester Sanayi A.S.,SASA.IS,110.0,108.0,2.0,350.32,0.31,3030515,121.551B
Bangkok Dusit Medical Services Public Company Limited,BDMS.BK,29.0,29.75,-0.75,63.88,0.45,67243341,460.868B
Koninklijke Philips N.V.,PHG,14.99,15.25,-0.26,9.6,1.56,1713152,13.22B
Aeroports de Paris SA,ADP.PA,125.2,126.25,-1.05,0,-11.81,58265,12.388B
Aspen Technology Inc.,AZPN,205.4,205.62,-0.22,44.03,4.66,136365,13.745B
Akamai Technologies Inc.,AKAM,84.3,84.7,-0.4,25.01,3.37,639735,13.697B
Zebra Technologies Corporation,ZBRA,256.41,257.53,-1.12,27.42,9.35,228213,13.703B
Burlington Stores Inc.,BURL,202.76,205.83,-3.07,0,-3.28,729364,13.537B
CK Infrastructure Holdings Limited,1038.HK,40.85,40.7,0.15,9.8,4.17,1070985,102.926B
Franklin Resources Inc.,BEN,26.38,26.83,-0.45,16.93,1.56,2691718,13.237B
First Horizon Corporation,FHN,24.5,24.49,0.01,11.77,2.08,1735200,13.248B
Mitsubishi Heavy Industries Ltd.,7011.T,5234.0,5261.0,-27.0,0,-32.69,1720600,1.759T
SS&C Technologies Holdings Inc.,SSNC,52.06,52.44,-0.38,19.8,2.63,811499,13.237B
Kimco Realty Corporation,KIM,21.18,21.16,0.02,8.97,2.36,2794463,13.056B
Westlake Corporation,WLK,102.54,103.03,-0.49,40.05,2.56,446626,13.107B
Telenor ASA,TEL.OL,91.6,91.6,0.0,7.44,12.32,1145129,128.191B
Group) Company Limited,2382.HK,92.85,90.4,2.45,22.78,4.077,2983326,101.843B
Bank of Beijing Co. Ltd.,601169.SS,4.31,4.29,0.02,4.75,0.908,37202982,91.126B
Metro Inc.,MRU.TO,74.97,75.11,-0.14,22.77,3.29,438856,18.131B
Indian Oil Corporation Limited,IOC.NS,76.5,74.75,1.75,14.54,5.26,15562549,720.183B
Public Joint Stock Company Polyus,PLZL.ME,8376.0,8225.0,151.0,9.4,890.98,74628,1.131T
Bio-Techne Corporation,TECH,82.88,84.47,-1.59,18.85,4.4,657456,3.257B
Erie Indemnity Company,ERIE,248.72,249.87,-1.15,42.28,5.88,123694,13.006B
Erste Group Bank AG,EBO.F,29.7,29.73,-0.03,16.06,1.85,250,12.045B
Everest Re Group Ltd.,RE,331.27,334.86,-3.59,15.76,21.02,147692,13.042B
Banque Saudi Fransi,1050.SR,40.6,40.65,-0.05,31.5,1.29,170530,48.704B
NetApp Inc.,NTAP,60.06,60.09,-0.03,22.76,2.64,1382207,13.35B
Public Joint Stock Company "Novolipetsk Steel",NLMK.ME,138.0,138.38,-0.38,0.64,216.03,945840,827.066B
The Interpublic Group of Companies Inc.,IPG,33.31,33.58,-0.27,30.04,1.11,2249902,13.116B
Corebridge Financial Inc.,CRBG,20.06,20.21,-0.15,0,0,949475,N/A
Resona Holdings Inc.,8308.T,723.2,720.5,2.7,11.59,62.4,10286900,1.739T
MGM Resorts International,MGM,33.53,33.26,0.27,0,-4.36,2793924,15.724B
OBIC Co.Ltd.,4684.T,19410.0,19520.0,-110.0,45.43,427.21,86300,1.721T
Lamb Weston Holdings Inc.,LW,89.36,88.94,0.42,52.26,1.71,890327,13.053B
Toyota Tsusho Corporation,8015.T,4885.0,4890.0,-5.0,12.77,382.56,591600,1.719T
Rede D'Or São Luiz S.A.,RDOR3.SA,29.58,30.23,-0.65,134.45,0.22,6549700,58.315B
Jack Henry & Associates Inc.,JKHY,175.56,177.49,-1.93,45.27,3.88,346946,12.999B
Arab National Bank,1080.SR,32.05,33.25,-1.2,23.21,1.38,453126,48.075B
Power Financial Corporation,PWF-PS.TO,18.79,18.58,0.21,6.1,3.08,2700,17.271B
Hindalco Industries Limited,HINDALCO.NS,473.35,469.9,3.45,47.35,10.0,8024186,1.056T
Capitec Bank Holdings Limited,CPI.JO,185857.0,186967.0,-1110.0,4829.96,38.48,78159,21.49T
Delivery Hero SE,DHER.F,45.15,45.81,-0.66,0,-7.0,340,11.333B
Corporación Acciona Energías Renovables S.A.,ANE.MC,36.14,36.24,-0.1,44.02,0.82,199624,11.899B
United Therapeutics Corporation,UTHR,278.09,275.99,2.1,24.1,11.54,272548,12.524B
Weichai Power Co. Ltd.,2338.HK,10.48,10.26,0.22,8.15,1.285,3628692,123.912B
Poste Italiane S.p.A.,PST.MI,9.13,9.25,-0.12,9.84,0.93,677938,11.872B
Chesapeake Energy Corporation,CHK,94.37,94.58,-0.21,0,0,735858,11.051B
Equity LifeStyle Properties Inc.,ELS,64.6,65.32,-0.72,51.93,1.24,637407,11.875B
Royal Caribbean Cruises Ltd.,RCL,49.43,49.8,-0.37,0,-24.62,1978086,12.594B
Hubbell Incorporated,HUBB,234.68,235.34,-0.66,36.22,6.48,240758,12.769B
China Eastern Airlines Corporation Limited,CEA,20.18,20.02,0.16,0,-5.5,3182,13.842B
Koninklijke KPN N.V.,KPN.F,2.898,2.915,-0.02,22.29,0.13,12826,12.08B
Ovintiv Inc.,OVV,50.71,50.54,0.17,0,-2.24,1779923,13.24B
RPM International Inc.,RPM,97.45,98.14,-0.69,27.85,3.5,478672,12.641B
Ambuja Cements Limited,AMBUJACEM.NS,524.1,522.75,1.35,37.73,13.89,3359826,1.041T
Britannia Industries Limited,BRITANNIA.NS,4307.45,4348.3,-40.85,55.65,77.4,117749,1.038T
Sysmex Corporation,6869.T,7998.0,8053.0,-55.0,52.8,151.47,449500,1.673T
Newcrest Mining Limited,NCM.AX,20.64,20.7,-0.06,13.26,1.56,2283909,16.883B
ABN AMRO Bank N.V.,ABN.AS,12.93,13.08,-0.15,0,-0.17,796906,12.149B
Essential Utilities Inc.,WTRG,47.73,48.42,-0.69,29.21,1.63,849501,12.063B
Lucid Group Inc.,LCID,6.83,6.7,0.13,0,-12.57,22489784,11.245B
Trimble Inc.,TRMB,50.56,50.48,0.08,32.62,1.55,800905,12.691B
South32 Limited,S32.AX,4.0,3.99,0.01,0,-0.03,12093439,18.624B
Bio-Rad Laboratories Inc.,BIO,420.49,424.57,-4.08,3.09,135.87,118522,12.575B
IHH Healthcare Berhad,Q0F.SI,1.89,1.89,0.0,270.0,0.007,54400,16.626B
EQT Corporation,EQT,33.83,33.87,-0.04,0,-3.71,3563044,12.786B
Grab Holdings Limited,GRAB,3.22,3.21,0.01,0,-12.726,5815427,12.046B
Thai Beverage Public Company Limited,TBVPF,0.4811,0.4913,-0.01,16.59,0.029,29600,12.085B
Zhongsheng Group Holdings Limited,0881.HK,40.15,40.05,0.1,18.15,2.213,2350443,96.964B
Sumitomo Mitsui Trust Holdings Inc.,8309.T,4588.0,4575.0,13.0,12.67,361.99,885100,1.719T
Bajaj Auto Limited,BAJAJ-AUTO.NS,3616.05,3568.8,47.25,21.54,167.9,287867,1.046T
bioMérieux S.A.,BIM.PA,97.92,99.78,-1.86,28.72,3.41,62010,11.575B
United Airlines Holdings Inc.,UAL,37.7,37.92,-0.22,0,-22.68,6128108,12.208B
International Paper Company,IP,34.63,34.77,-0.14,14.12,2.45,1966264,13.411B
Uni-President Enterprises Corp.,1216.TW,66.6,66.3,0.3,17.67,3.77,6961700,378.423B
TDK Corporation,6762.T,4335.0,4295.0,40.0,6.92,626.78,1920700,1.643T
Domino's Pizza Inc.,DPZ,346.4,349.8,-3.4,28.11,12.32,281631,12.595B
ASM International NV,ASM.AS,235.65,239.65,-4.0,34.78,6.78,132351,11.431B
Vodacom Group Limited,5VD.F,6.75,6.75,0.0,11.84,0.57,29,11.438B
Nissan Motor Co. Ltd.,7201.T,418.1,415.1,3.0,0,-275.57,10809500,1.636T
Bank Leumi le-Israel B.M.,LUMI.TA,2931.0,2895.0,36.0,2035.42,1.44,7047389,4.258T
NICE Ltd.,NICE,192.3,193.79,-1.49,64.53,2.98,86366,12.164B
Kirin Holdings Company Limited,2503.T,2011.0,2023.0,-12.0,23.51,85.54,1941500,N/A
Singapore Airlines Limited,C6L.SI,5.53,5.54,-0.01,0,-1.8,1644100,16.41B
American Homes 4 Rent,AMH,30.14,30.47,-0.33,108.81,0.28,1294627,10.079B
The Liberty SiriusXM Group,LSXMB,39.03,40.13,-1.1,0,-2.24,344,14.363B
Carrefour SA,CA.PA,15.64,15.82,-0.18,19.72,0.79,1303990,11.987B
Carlisle Companies Incorporated,CSL,235.65,237.53,-1.88,41.3,5.71,210723,12.321B
Siemens Limited,SIEMENS.NS,2826.4,2822.4,4.0,126.06,22.42,138942,1.007T
SECOM CO. LTD.,9735.T,7543.0,7576.0,-33.0,21.84,345.44,539900,1.646T
ZoomInfo Technologies Inc.,ZI,30.11,30.15,-0.04,0,-0.03,2613521,12.141B
Julius Bär Gruppe AG,BAER.SW,53.86,54.26,-0.4,16.66,3.23,413423,11.483B
Snap-on Incorporated,SNA,228.49,230.21,-1.72,18.35,12.45,168016,12.232B
Kyowa Kirin Co. Ltd.,4151.T,3020.0,3035.0,-15.0,34.51,87.5,569500,1.622T
Suzano S.A.,SUZ,9.24,9.17,0.07,0,-1.46,899029,12.467B
Credit Suisse Group AG,CS,3.04,3.12,-0.08,6.2,0.49,16743955,7.272B
Bank of Shanghai Co. Ltd.,601229.SS,5.91,5.88,0.03,4.23,1.4,13638316,83.961B
Dabur India Limited,DABUR.NS,561.45,560.95,0.5,62.38,9.0,699048,992.565B
Bank Hapoalim B.M.,POLI.TA,3172.0,3098.0,74.0,2062.42,1.54,4893730,4.236T
Talanx AG,TLX.DE,44.32,44.88,-0.56,16.66,2.66,45605,11.217B
Alfa Laval Corporate AB,ALFA.ST,301.1,307.7,-6.6,33.76,8.92,494475,125.075B
Tech Mahindra Limited,TECHM.NS,1016.4,1013.2,3.2,20.25,50.19,1316777,986.673B
International) Limited,0316.HK,141.0,139.8,1.2,8.4,16.781,517565,93.113B
Continental Aktiengesellschaft,CON.DE,55.98,57.12,-1.14,0,-4.81,134193,11.196B
Camden Property Trust,CPT,111.88,112.94,-1.06,99.89,1.12,523895,11.434B
Telefônica Brasil S.A.,VIV,7.15,7.24,-0.09,13.78,0.52,1282563,12.047B
Yonyou Network Technology Co.Ltd.,600588.SS,24.17,23.8,0.37,53.83,0.45,23839513,79.056B
Tenaga Nasional Berhad,TNABY,8.14,8.42,-0.28,13.3,0.61,342,11.698B
Reliance Steel & Aluminum Co.,RS,202.44,202.85,-0.41,22.79,8.88,178708,12.684B
Bureau Veritas SA,BVI.PA,24.61,24.83,-0.22,88.21,0.28,588319,11.133B
Hua Xia Bank Co. Limited,600015.SS,5.19,5.18,0.01,4.42,1.17,12639305,79.86B
Packaging Corporation of America,PKG,127.91,128.63,-0.72,25.08,5.1,355573,12.15B
Taiwan Cooperative Financial Holding Co. Ltd.,5880.TW,26.0,25.65,0.35,20.97,1.24,5843920,353.623B
Bank Albilad,1140.SR,44.45,44.7,-0.25,22.54,1.97,762316,34.799B
LG Electronics Inc.,LGLG.F,14.9,14.7,0.2,3.74,3.99,350,11.332B
The Siam Cement Public Company Limited,SCC.BK,342.0,344.0,-2.0,9.75,35.07,2037787,410.4B
Brookfield Asset Management Inc.,BAM,28.67,29.28,-0.61,0,-0.12,848227,44.96B
Axon Enterprise Inc.,AXON,165.93,165.58,0.35,0,-0.03,318614,11.361B
Pool Corporation,POOL,302.33,306.92,-4.59,28.4,10.64,250028,12.12B
AMERCO,UHAL,60.19,60.48,-0.29,1.79,33.63,237032,1.18B
Nippon Yusen Kabushiki Kaisha,9101.T,3110.0,3086.0,24.0,8.11,383.5,8471000,525.155B
AECOM,ACM,84.93,85.0,-0.07,0,-1.27,429515,12.077B
The Toro Company,TTC,113.2,113.26,-0.06,33.28,3.4,727883,11.828B
AVEVA Group plc,AVV.L,3213.0,3218.0,-5.0,164.77,19.5,135689,9.688B
Commerzbank AG,CBK.F,8.8,8.86,-0.06,0,-2.33,7615,11.048B
Globe Life Inc.,GL,120.55,120.7,-0.15,16.32,7.39,461090,12.173B
Teleflex Incorporated,TFX,249.63,251.35,-1.72,42.37,5.89,236356,11.694B
Smith & Nephew plc,SNN,26.89,27.07,-0.18,26.26,1.02,612284,11.829B
Advantest Corporation,6857.T,8480.0,8440.0,40.0,24.1,351.82,1749900,1.639T
Power Assets Holdings Limited,0006.HK,42.75,42.5,0.25,12.8,3.34,3092959,91.24B
American Financial Group Inc.,AFG,137.28,137.62,-0.34,16.74,8.2,173048,11.642B
Hainan Airlines Holding Co. Ltd.,900945.SS,0.289,0.289,0.0,0,-0.558,582100,11.65B
Vifor Pharma AG,VIFN.SW,166.15,165.35,0.8,30.06,5.53,21852,10.842B
GoDaddy Inc.,GDDY,74.82,75.23,-0.41,0,-2.94,631386,12.436B
Host Hotels & Resorts Inc.,HST,16.05,15.81,0.24,0,-1.04,4586390,11.46B
Subaru Corporation,7270.T,2027.5,2015.0,12.5,13.51,150.09,2082600,1.555T
Bank of Baroda,BANKBARODA.NS,185.7,185.35,0.35,31.22,5.95,27007552,960.321B
Match Group Inc.,MTCH,41.49,41.09,0.4,85.02,0.49,2741193,11.745B
Sekisui House Ltd.,1928.T,2333.5,2345.5,-12.0,12.89,181.02,1911300,1.575T
Shandong Gold Mining Co. Ltd.,600547.SS,19.16,18.91,0.25,61.21,0.31,10956016,78.323B
Akzo Nobel N.V.,AKZA.AS,62.56,63.58,-1.02,16.25,3.85,208335,11.73B
New China Life Insurance Company Ltd.,601336.SS,30.08,29.04,1.04,5.89,5.11,11347654,76.496B
Unity Software Inc.,U,28.59,28.48,0.11,0,-1.63,5329638,8.355B
Amundi S.A.,AMUN.PA,53.0,53.55,-0.55,10.56,5.02,101966,10.701B
Bill.com Holdings Inc.,BILL,108.96,108.84,0.12,0,-1.86,1093352,11.174B
NN Group N.V.,NN.AS,38.16,39.23,-1.07,6.5,5.87,961990,11.665B
MTU Aero Engines AG,MTX.DE,202.2,204.4,-2.2,91.99,2.2,49344,10.765B
Swire Pacific Limited,0019.HK,68.7,67.9,0.8,11.45,6.0,1059690,97.05B
Neurocrine Biosciences Inc.,NBIX,119.44,120.2,-0.76,28.71,4.16,470830,11.331B
CNA Financial Corporation,CNA,42.28,42.42,-0.14,10.85,3.9,161697,11.473B
CIMB Group Holdings Berhad,1023.KL,5.8,5.8,0.0,15.98,0,18255500,50.627B
IndusInd Bank Limited,INDUSINDBK.NS,1220.1,1231.15,-11.05,30.53,39.96,1767399,953.281B
PT Unilever Indonesia Tbk,UNVR.JK,4700.0,4760.0,-60.0,25.03,187.77,13027100,179.305T
Davide Campari-Milano N.V.,CPR.MI,9.48,9.68,-0.2,56.45,0.17,1132508,10.741B
Brambles Limited,BXB.AX,12.07,12.04,0.03,30.48,0.4,1569681,17.316B
First Financial Holding Co. Ltd.,2892.TW,26.5,26.1,0.4,20.24,1.31,14209000,343.551B
Sarepta Therapeutics Inc.,SRPT,129.58,127.26,2.32,0,-7.11,596379,11.283B
Groupe Bruxelles Lambert SA,GBLB.VI,75.32,75.5,-0.18,29.77,2.53,0,11.178B
Qiagen N.V.,QGEN,49.87,50.19,-0.32,32.59,1.53,338573,11.337B
Liberty Broadband Corporation,LBRDA,75.85,75.45,0.4,34.95,2.17,252990,13.453B
Koç Holding A.S.,KCHOL.IS,83.7,81.9,1.8,22.89,3.66,28725725,212.205B
Graco Inc.,GGG,67.26,67.82,-0.56,31.86,2.11,409900,11.432B
Carl Zeiss Meditec AG,AFXA.F,116.0,114.0,2.0,79.62,1.46,672,10.624B
Bunzl plc,BNZL.L,2759.0,2795.0,-36.0,21.5,128.3,239256,9.309B
WiseTech Global Limited,WTC.AX,50.75,50.45,0.3,112.53,0.45,259044,16.561B
Hansoh Pharmaceutical Group Company Limited,3692.HK,14.84,15.0,-0.16,0,0,2580217,87.888B
Nomura Holdings Inc.,NMR,3.75,3.71,0.04,8.41,0.446,722865,11.505B
Ono Pharmaceutical Co. Ltd.,4528.T,3083.0,3154.0,-71.0,20.7,148.93,930800,1.539T
Molson Coors Beverage Company,TAP,51.52,51.6,-0.08,0,-3.45,925810,11.203B
DLF Limited,DLF.NS,375.0,373.45,1.55,0,-5.04,2828747,928.241B
Taiwan) Ltd.,2603.TW,163.0,160.0,3.0,32.86,4.96,21672657,862.409B
Polestar Automotive Holding UK PLC,PSNY,5.31,5.43,-0.12,0,0,1820864,N/A
Yara International ASA,YAR.OL,430.6,431.9,-1.3,16.81,25.62,316187,109.685B
Stora Enso Oyj,STEAV.HE,13.9,14.1,-0.2,17.82,0.78,7407,10.962B
SEGRO Plc,SGRO.L,763.6,774.0,-10.4,6.18,123.6,902224,9.182B
E.SUN Financial Holding Company Ltd.,2884.TW,24.05,24.1,-0.05,16.82,1.43,10091568,321.178B
Croda International Plc,CRDA.L,6604.0,6700.0,-96.0,42.66,154.8,65922,9.214B
Chailease Holding Company Limited,5871.TW,217.0,214.0,3.0,17.78,12.2,2415637,314.735B
DocuSign Inc.,DOCU,55.42,55.75,-0.33,0,-1.31,3503697,10.966B
Bouygues SA,EN.PA,28.04,28.42,-0.38,15.32,1.83,786994,10.647B
NiSource Inc.,NI,27.42,27.84,-0.42,0,-0.19,1863771,10.768B
Randstad N.V.,RAND.AS,56.96,57.7,-0.74,26.25,2.17,205917,10.478B
Stanley Black & Decker Inc.,SWK,75.12,75.91,-0.79,7.63,9.84,1458023,12.247B
Sino Biopharmaceutical Limited,1177.HK,4.57,4.6,-0.03,18.95,0.241,96012169,86.083B
Albertsons Companies Inc.,ACI,20.74,20.98,-0.24,18.91,1.1,3102229,9.688B
Korea Electric Power Corporation,KEP,8.64,8.64,0.0,6.25,1.38,194348,11.255B
Charles River Laboratories International Inc.,CRL,217.9,223.55,-5.65,30.26,7.2,462731,10.996B
Celanese Corporation,CE,102.24,103.49,-1.25,5.73,17.84,493371,11.131B
Paramount Global,PARA,16.88,16.77,0.11,0,0,9652204,N/A
Sumitomo Realty & Development Co. Ltd.,8830.T,3121.0,3115.0,6.0,9.45,330.19,708500,1.479T
Dynatrace Inc.,DT,38.3,38.47,-0.17,136.79,0.28,951560,10.918B
Posco Chemical Co. Ltd.,003670.KS,180000.0,179000.0,1000.0,0,0,547193,13.943T
Amdocs Limited,DOX,90.9,90.95,-0.05,17.74,5.12,482902,11.328B
BDO Unibank Inc.,BDOUY,20.86,21.65,-0.79,14.9,1.4,2208,9.147B
HeidelbergCement AG,HEI.DE,53.28,54.02,-0.74,0,-10.78,222630,10.572B
Worldline SA,WLN.PA,36.53,36.93,-0.4,44.88,0.81,454844,10.234B
Divi's Laboratories Limited,DIVISLAB.NS,3413.2,3412.2,1.0,48.44,70.46,243214,906.099B
Okta Inc.,OKTA,68.33,68.37,-0.04,0,-2.09,1417568,10.628B
Persero) Tbk,BBNI.JK,9225.0,9225.0,0.0,121.66,75.83,15236200,171.626T
Pan Pacific International Holdings Corporation,7532.T,2453.0,2445.0,8.0,28.84,85.05,1401300,1.463T
TransUnion,TRU,56.75,57.58,-0.83,27.28,2.08,729182,10.873B
First Citizens BancShares Inc.,FCNCA,758.36,758.07,0.29,13.32,56.93,68289,7.352B
Seagate Technology Holdings plc,STX,52.61,53.02,-0.41,13.3,3.96,1220527,11.713B
The Carlyle Group Inc.,CG,29.84,30.23,-0.39,5.9,5.06,1271562,10.637B
Barry Callebaut AG,BARN.SW,1829.0,1835.0,-6.0,32.13,56.92,7270,10.025B
Henry Schein Inc.,HSIC,79.87,80.61,-0.74,28.35,2.82,541108,11.076B
Paylocity Holding Corporation,PCTY,194.26,197.77,-3.51,163.52,1.19,410867,10.689B
Godrej Consumer Products Limited,GODREJCP.NS,874.05,886.05,-12.0,56.39,15.5,409511,900.796B
Ryan Specialty Holdings Inc.,RYAN,41.51,41.05,0.46,88.7,0.47,586304,4.562B
Credicorp Ltd.,BAP,135.66,135.61,0.05,119.84,1.13,360683,10.787B
C.H. Robinson Worldwide Inc.,CHRW,91.56,92.25,-0.69,20.67,4.43,776966,11.902B
Public Joint Stock Company Severstal,CHMF.ME,821.4,823.8,-2.4,5.41,151.7,229769,688.102B
Computershare Limited,CPU.AX,26.2,26.16,0.04,60.65,0.43,579360,15.818B
Regency Centers Corporation,REG,62.5,62.64,-0.14,240.38,0.26,588553,10.701B
V.F. Corporation,VFC,27.61,27.44,0.17,0,-0.43,4522542,10.845B
Impala Platinum Holdings Limited,IMP.JO,21314.0,21529.0,-215.0,476.68,44.71,745299,17.321T
Larsen & Toubro Infotech Limited,LTI.BO,5068.0,5015.45,52.55,53.08,0,33532,884.584B
Aramark,ARMK,41.34,41.53,-0.19,0,-2.72,1877972,10.602B
Eicher Motors Limited,EICHERMOT.NS,3227.75,3281.2,-53.45,78.42,41.16,663340,887.005B
Bentley Systems Incorporated,BSY,36.96,37.1,-0.14,113.37,0.33,667905,10.436B
Informa plc,INF.L,619.6,619.6,0.0,0,-73.4,1093863,9.313B
Service Corporation International,SCI,69.14,69.77,-0.63,18.4,3.76,837417,11.402B
Equitable Holdings Inc.,EQH,28.7,28.97,-0.27,0,-1.56,1418338,11.617B
Boston Properties Inc.,BXP,67.58,67.54,0.04,23.09,2.93,1153043,10.556B
Solvay SA,SOLB.VI,95.6,95.6,0.0,0,-9.33,0,9.873B
Deckers Outdoor Corporation,DECK,399.16,400.0,-0.84,31.01,12.87,176499,10.956B
WPP plc,WPP,49.16,49.72,-0.56,0,-16.87,72853,11.346B
Masco Corporation,MAS,46.67,47.23,-0.56,15.6,2.99,1156791,11.392B
News Corporation,NWS,18.44,18.46,-0.02,0,-1.46,424175,10.862B
Banco de Chile,BCH,20.82,20.62,0.2,11.57,1.8,159612,10.516B
MarketAxess Holdings Inc.,MKTX,278.89,283.33,-4.44,34.86,8.0,118077,10.605B
Cipla Limited,CIPLA.NS,1075.95,1087.55,-11.6,38.83,27.71,1185477,873.842B
publ),LUND-B.ST,444.1,454.3,-10.2,30.67,14.48,54955,110.137B
Carnival Corporation & plc,CCL,8.06,8.08,-0.02,0,-13.02,30357491,9.396B
Brookfield Property Partners L.P.,BPYPP,15.83,14.88,0.95,0,-2.39,191761,10.461B
publ),INDU-A.ST,253.5,257.7,-4.2,2.44,103.91,130537,108.787B
West Japan Railway Company,9021.T,5729.0,5694.0,35.0,0,-1219.71,724100,1.397T
Hotai Motor Co.Ltd.,2207.TW,588.0,586.0,2.0,23.2,25.34,71395,321.153B
HF Sinclair Corporation,DINO,51.89,51.5,0.39,0,0,1357201,N/A
Federal Home Loan Mortgage Corporation,FMCCT,3.23,2.915,0.31,16.48,0.196,3275,10.405B
Suntory Beverage & Food Limited,2587.T,4500.0,4550.0,-50.0,26.63,168.97,377900,1.39T
Türk Hava Yollari Anonim Ortakligi,THYAO.IS,140.9,142.3,-1.4,0,-4.05,48070933,194.442B
Saputo Inc.,SAP.TO,33.52,33.62,-0.1,22.44,1.49,308601,13.889B
Varun Beverages Limited,VBL.NS,1322.55,1357.2,-34.65,94.62,13.98,949787,572.708B
SCB X Public Company Limited,SCB.BK,107.0,106.5,0.5,12.96,8.26,9458343,363.713B
Juniper Networks Inc.,JNPR,31.96,32.03,-0.07,51.8,0.62,1715260,10.393B
PulteGroup Inc.,PHM,45.53,45.82,-0.29,8.17,5.57,1229751,11.528B
JSW Energy Limited,JSWENERGY.NS,287.6,286.5,1.1,59.29,4.85,456725,471.724B
Enka Insaat ve Sanayi A.S.,ENKAI.IS,33.14,34.14,-1.0,40.17,0.82,119020789,183.903B
Rexford Industrial Realty Inc.,REXR,54.64,54.89,-0.25,90.76,0.6,798883,8.277B
AGCO Corporation,AGCO,138.69,138.65,0.04,20.41,6.8,495433,10.379B
Suncorp Group Limited,SUN.AX,12.04,12.03,0.01,21.23,0.57,1290080,15.202B
Western Midstream Partners LP,WES,26.85,26.19,0.66,22.68,1.18,1159722,10.965B
publ),BOL.ST,391.25,400.95,-9.7,13.53,28.92,630837,107.011B
SK Innovation Co. Ltd.,096775.KS,93900.0,96200.0,-2300.0,0,0,4954,13.479T
Nexi S.p.A.,NEXI.MI,7.37,7.54,-0.17,37.02,0.2,1488421,7.66B
Magellan Midstream Partners L.P.,MMP,50.21,49.75,0.46,13.87,3.62,606113,10.717B
Emera Incorporated,EMA.TO,51.75,52.33,-0.58,13.69,3.78,336608,13.385B
InterContinental Hotels Group PLC,IHG,58.34,58.39,-0.05,0,-1.43,54061,10.735B
Hongkong Land Holdings Limited,H78.SI,4.6,4.59,0.01,0,-1.134,832700,10.569B
Fidelity National Financial Inc.,FNF,37.62,37.97,-0.35,7.53,4.99,797808,10.704B
Hindustan Aeronautics Limited,HAL.NS,2531.25,2506.55,24.7,29.76,85.04,454412,846.691B
Aluminum Corporation of China Limited,601600.SS,4.47,4.46,0.01,55.88,0.08,41828933,68.675B
Disco Corporation,6146.T,37750.0,38250.0,-500.0,34.93,1080.82,152100,1.362T
Scentre Group,SCG.AX,2.88,2.91,-0.03,0,-0.719,6660066,74.741B
Shree Cement Limited,SHREECEM.NS,23289.45,23256.75,32.7,41.53,560.81,56763,840.3B
Localiza Rent a Car S.A.,RENT3.SA,53.2,54.29,-1.09,38.22,1.39,8757900,40.017B
Sino Land Company Limited,0083.HK,9.76,9.67,0.09,9.48,1.03,2736851,74.324B
ENEOS Holdings Inc.,5020.T,448.0,451.0,-3.0,0,-76.35,8818700,1.438T
Teva Pharmaceutical Industries Limited,TEVA,9.12,9.34,-0.22,0,-3.63,7339509,10.059B
FinecoBank Banca Fineco S.p.A.,FBK.MI,15.52,15.66,-0.14,29.28,0.53,668215,9.464B
publ),TELIA.ST,26.66,27.06,-0.4,0,-5.64,8935961,109.03B
Kasikornbank Public Company Limited,KBANK.BK,147.5,147.0,0.5,10.67,13.82,11885892,349.476B
Ramsay Health Care Limited,RHC.AX,64.7,64.68,0.02,59.03,1.1,176520,14.809B
Sasol Limited,SSL,15.71,15.78,-0.07,0,-9.0,101817,9.982B
Logitech International S.A.,LOGI,62.25,62.56,-0.31,11.3,5.51,233508,10.425B
Universal Health Services Inc.,UHS,140.89,140.79,0.1,11.95,11.79,369698,11.324B
CapitaLand Integrated Commercial Trust,C38U.SI,2.04,2.03,0.01,24.29,0.084,7026800,13.482B
Bruker Corporation,BRKR,68.35,68.89,-0.54,67.01,1.02,450829,10.366B
Samsung Life Insurance Co. Ltd.,032830.KS,71000.0,72000.0,-1000.0,0,0,210993,12.75T
GFL Environmental Inc.,GFL,29.23,29.53,-0.3,0,-2.14,996583,9.745B
DICK'S Sporting Goods Inc.,DKS,120.29,118.45,1.84,21.03,5.72,1288280,10.418B
Acciona S.A.,ANA.MC,171.9,173.9,-2.0,24.66,6.97,47239,9.394B
Darling Ingredients Inc.,DAR,62.59,62.27,0.32,35.16,1.78,842215,10.128B
Jazz Pharmaceuticals plc,JAZZ,159.31,158.15,1.16,37.75,4.22,396845,9.793B
Aegon N.V.,AEG,5.04,5.09,-0.05,0,-0.11,1226461,10.185B
Western Digital Corporation,WDC,31.55,31.57,-0.02,27.6,1.14,2631981,9.832B
Yakult Honsha Co.Ltd.,2267.T,8560.0,8690.0,-130.0,33.11,258.57,220900,1.373T
Galp Energia SGPS S.A.,GZ5.F,12.57,12.71,-0.14,0,-0.16,80,10.981B
Lenovo Group Limited,0992.HK,6.41,6.39,0.02,14.81,0.433,14139750,77.187B
Cayman Islands) Holding Corp.,0322.HK,13.78,14.0,-0.22,20.81,0.662,5526289,77.542B
Mineral Resources Limited,MIN.AX,77.2,76.77,0.43,22.8,3.39,490095,14.579B
Hua Nan Financial Holdings Co. Ltd.,2880.TW,22.45,22.3,0.15,33.36,0.67,4993048,296.208B
