Company,Symbol,Marketprice,previousClosePrice,changeInPrice,pe_ratio,eps_ratio,Volume,MarketCap
Pinterest Inc.,PINS,24.28,23.82,0.46,0,-0.01,5980536,15.835B
Hindustan Zinc Limited,HINDZINC.NS,321.7,326.2,-4.5,17.03,18.89,326387,1.359T
Ajinomoto Co. Inc.,2802.T,4031.0,4103.0,-72.0,37.89,106.38,1739600,2.178T
ZTE Corporation,000063.SZ,25.86,25.55,0.31,21.51,1.2,22264410,112.847B
NIO Inc.,NIO,9.75,9.99,-0.24,0,-1.03,40265339,15.508B
Standard Bank Group Limited,SBK.JO,16779.0,16900.0,-121.0,2165.03,7.75,1459535,26.657T
The Cooper Companies Inc.,COO,330.67,334.38,-3.71,7.29,45.38,252711,16.338B
Howmet Aerospace Inc.,HWM,39.41,39.39,0.02,59.62,0.66,1500615,16.837B
United Microelectronics Corporation,UMC,6.53,6.73,-0.2,6.34,1.03,6111663,16.301B
Rivian Automotive Inc.,RIVN,18.43,18.73,-0.3,0,-14.53,17181766,16.281B
Geberit AG,GEBN.SW,435.5,440.5,-5.0,21.96,19.83,71071,15.038B
W. P. Carey Inc.,WPC,78.15,78.48,-0.33,31.14,2.51,593668,16.258B
KeyCorp,KEY,17.42,17.43,-0.01,7.99,2.18,3723727,16.252B
Guotai Junan Securities Co. Ltd.,601211.SS,13.59,13.53,0.06,10.79,1.26,13835194,113.058B
Brookfield Renewable Partners L.P.,BEP,25.34,25.47,-0.13,0,-0.51,494949,16.201B
Snam S.p.A.,SRG.MI,4.527,4.639,-0.11,10.29,0.44,4332711,15.173B
Kubota Corporation,6326.T,1817.0,1834.0,-17.0,13.39,135.68,2281900,2.164T
Zscaler Inc.,ZS,111.9,111.87,0.03,0,-2.67,1556389,16.137B
Brown & Brown Inc.,BRO,56.97,57.65,-0.68,25.78,2.21,635005,16.135B
Live Nation Entertainment Inc.,LYV,69.74,70.15,-0.41,88.28,0.79,1075343,16.102B
Cincinnati Financial Corporation,CINF,102.39,104.16,-1.77,31.9,3.21,394800,16.094B
Santos Limited,STO.AX,7.14,7.09,0.05,9.92,0.72,5536389,23.657B
Hydro One Limited,H.TO,36.27,36.47,-0.2,21.09,1.72,882347,21.715B
Public Joint-Stock Company PhosAgro,PHOR.ME,7929.0,7920.0,9.0,7.91,1002.0,26989,1.027T
Magna International Inc.,MGA,56.18,57.28,-1.1,17.34,3.24,611148,16.057B
Ball Corporation,BALL,51.14,51.62,-0.48,0,0,939079,N/A
Fox Corporation,FOX,28.45,28.58,-0.13,11.26,2.53,812092,16.942B
Haidilao International Holding Ltd.,6862.HK,22.4,22.45,-0.05,0,0,12559658,124.858B
Itaúsa S.A.,ITSA3.SA,8.9,8.95,-0.05,10.61,0.84,89100,77.355B
First Solar Inc.,FSLR,149.79,148.78,1.01,30.95,4.84,1438937,15.927B
ICON Public Limited Company,ICLR,194.25,198.47,-4.22,30.59,6.35,366100,15.812B
Publicis Groupe S.A.,PUB.PA,59.42,59.96,-0.54,24.97,2.38,287480,14.815B
Renesas Electronics Corporation,6723.T,1183.5,1185.5,-2.0,43.46,27.23,4637300,2.299T
SolarEdge Technologies Inc.,SEDG,283.27,280.66,2.61,118.23,2.4,485679,14.877B
EMS-CHEMIE HOLDING AG,EMSN.SW,626.0,634.5,-8.5,33.71,18.57,11424,14.642B
Check Point Software Technologies Ltd.,CHKP,126.16,126.1,0.06,20.77,6.07,282992,16.754B
3i Group plc,III.L,1341.5,1337.0,4.5,4.64,288.9,782303,13.056B
Atmos Energy Corporation,ATO,112.07,114.49,-2.42,21.77,5.15,567095,14.872B
Nippon Steel Corporation,5401.T,2292.0,2294.5,-2.5,0,-214.98,4518700,2.11T
Broadridge Financial Solutions Inc.,BR,134.13,136.66,-2.53,30.31,4.43,356454,15.637B
Fresenius SE & Co. KGaA,FRE.DE,26.25,26.28,-0.03,8.58,3.06,470234,17.423B
Power Corporation of Canada,POW.TO,31.85,31.83,0.02,10.34,3.08,2430831,21.565B
FMC Corporation,FMC,124.8,124.94,-0.14,29.55,4.22,567585,15.819B
Chewy Inc.,CHWY,37.08,37.62,-0.54,1426.15,0.03,2037801,15.499B
China Communications Construction Company Limited,601800.SS,8.05,7.98,0.07,7.79,1.03,44857831,108.982B
Pidilite Industries Limited,PIDILITIND.NS,2550.15,2601.7,-51.55,131.98,19.32,204864,1.296T
Asahi Group Holdings Ltd.,2502.T,4119.0,4132.0,-13.0,20.96,196.49,868700,2.087T
Swiss Life Holding AG,SLHN.SW,476.8,481.2,-4.4,14.55,32.78,67334,14.727B
PCHEM,5183.KL,8.6,8.53,0.07,0,0,9543600,N/A
Suzuki Motor Corporation,7269.T,4271.0,4278.0,-7.0,15.82,269.91,1077200,2.074T
Rentokil Initial plc,RTO.L,508.0,518.0,-10.0,50.8,10.0,2259970,9.445B
Link Real Estate Investment Trust,0823.HK,57.3,56.8,0.5,0,-8.17,2876042,120.914B
Bank of Nanjing Co. Ltd.,601009.SS,10.42,10.36,0.06,7.77,1.34,17976943,104.273B
Bank of Jiangsu Co. Ltd.,600919.SS,7.29,7.29,0.0,6.38,1.14,66700039,107.67B
DiDi Global Inc.,DIDIY,3.18,3.34,-0.16,0,0,8760248,N/A
Chongqing Changan Automobile Company Limited,000625.SZ,12.31,12.29,0.02,17.44,0.71,137598284,81.987B
China Merchants Securities Co. Ltd.,600999.SS,13.3,13.22,0.08,12.14,1.1,8262100,107.87B
FactSet Research Systems Inc.,FDS,401.21,406.5,-5.29,39.96,10.04,157458,15.165B
Norsk Hydro ASA,NHY.OL,73.32,73.32,0.0,29.47,2.49,1876620,150.379B
Spotify Technology S.A.,SPOT,78.95,79.01,-0.06,0,-3.78,1238778,15.123B
Coles Group Limited,COL.AX,16.72,16.8,-0.08,21.27,0.79,1430441,22.326B
Jacobs Solutions Inc.,J,120.07,121.13,-1.06,37.57,3.2,205316,15.543B
Symrise AG,SY1.DE,101.65,103.2,-1.55,45.71,2.22,143880,14.208B
UCB SA,UCB.VI,74.6,74.6,0.0,19.79,3.77,0,14.125B
Etsy Inc.,ETSY,119.78,122.68,-2.9,44.51,2.69,2153825,15.186B
Associated British Foods plc,ABF.L,1576.0,1592.5,-16.5,31.15,50.6,512434,12.477B
Tryg A/S,TRYG.CO,165.35,165.9,-0.55,12.63,13.1,301197,108.067B
Aviva plc,AV.L,442.8,446.7,-3.9,6.34,69.8,1627335,16.674B
APA Corporation,APA,46.68,45.91,0.77,0,-12.86,4749206,N/A
Tradeweb Markets Inc.,TW,64.93,66.17,-1.24,67.08,0.97,459688,15.102B
China Steel Corporation,2002A.TW,46.25,46.2,0.05,925.0,0.05,5357,479.571B
Fair Isaac Corporation,FICO,598.58,600.9,-2.32,66.66,8.98,148069,16.376B
Bunge Limited,BG,99.77,99.79,-0.02,12.93,7.72,573891,14.02B
The Mosaic Company,MOS,43.87,43.41,0.46,16.3,2.69,3600319,16.25B
KB Financial Group Inc.,KB,38.66,38.97,-0.31,4.25,9.1,118256,15.063B
