Company,Symbol,Marketprice,previousClosePrice,changeInPrice,pe_ratio,eps_ratio,Volume,MarketCap
New Found Gold Corp.,NFGC,4.04,3.91,0.13,0,-0.326,174589,663.707M
ITM Power Plc,ITM.L,91.64,94.38,-2.74,0,-6.7,947604,561.898M
Triumph Group Inc.,TGI,10.52,9.98,0.54,0,-8.68,930478,679.711M
HarborOne Bancorp Inc.,HONE,13.9,13.99,-0.09,12.66,1.1,51708,739.875M
Eagle Bulk Shipping Inc.,EGLE,49.94,50.58,-0.64,0,-3.4,109353,678.735M
MarineMax Inc.,HZO,31.22,31.46,-0.24,5.74,5.44,193572,685.963M
Mahindra Lifespace Developers Limited,MAHLIFE.NS,363.85,368.05,-4.2,0,-52.22,34714,56.365B
Forrester Research Inc.,FORR,35.76,35.43,0.33,67.47,0.53,80172,685.555M
Gujarat Alkalies and Chemicals Limited,GUJALKALI.NS,767.1,737.05,30.05,39.54,19.4,530056,56.333B
Badger Infrastructure Solutions Ltd.,BDGI.TO,26.66,25.55,1.11,0,-0.1,64312,919.061M
ZEAL Network SE,TIMA.F,28.45,28.25,0.2,77.95,0.37,100,636.125M
Religare Enterprises Limited,RELIGARE.NS,173.65,174.65,-1.0,0,-32.13,686380,55.23B
i-80 Gold Corp.,IAUX,2.82,2.89,-0.07,0,0,475303,N/A
Youdao Inc.,DAO,5.38,5.19,0.19,0,-1.88,167635,677.713M
Riverstone Holdings Limited,AP4.SI,0.615,0.635,-0.02,4.33,0.142,700600,911.535M
DIC Asset AG,DIC.DE,7.62,7.63,-0.01,8.64,0.88,25832,620.148M
Orient Electric Limited,ORIENTELEC.NS,263.6,257.9,5.7,60.51,4.36,78079,55.94B
OTC Markets Group Inc.,OTCM,56.9,57.25,-0.35,37.09,1.53,5435,670.202M
Rover Group Inc.,ROVR,3.67,3.58,0.09,0,-2.076,254529,643.913M
Johnson Outdoors Inc.,JOUT,66.12,66.83,-0.71,9.75,6.78,30895,669.61M
Accel Entertainment Inc.,ACEL,7.7,7.61,0.09,46.95,0.16,146503,724.317M
AMC Networks Inc.,AMCX,15.67,15.44,0.23,3.38,4.64,444408,662.092M
PubMatic Inc.,PUBM,12.81,12.9,-0.09,17.99,0.71,516123,657.23M
Heska Corporation,HSKA,62.16,63.85,-1.69,0,-1.66,62901,665.765M
RAPT Therapeutics Inc.,RAPT,19.8,19.14,0.66,0,-2.19,402094,585.013M
Seritage Growth Properties,SRG,11.83,11.78,0.05,0,-2.5,417232,516.158M
Wirtualna Polska Holding S.A.,WPL.WA,101.0,101.0,0.0,37.84,2.67,8497,2.953B
Amprius Technologies Inc.,AMPX,7.93,8.0,-0.07,0,0,53956,N/A
C. E. Info Systems Limited,MAPMYINDIA.NS,1040.55,1045.0,-4.45,70.98,14.66,266591,N/A
Ethan Allen Interiors Inc.,ETD,26.42,26.64,-0.22,9.48,2.79,186787,667.369M
New Gold Inc.,NGD,0.98,0.9923,-0.01,0,-0.12,1706124,667.282M
The Gorman-Rupp Company,GRC,25.62,25.79,-0.17,24.66,1.04,42028,669.364M
Jin Air Co. Ltd.,272450.KS,16450.0,17200.0,-750.0,0,0,385408,847.728B
ChannelAdvisor Corporation,ECOM,23.09,23.08,0.01,36.65,0.63,1262258,693.829M
Enfusion Inc.,ENFN,9.67,9.56,0.11,0.11,84.66,352877,634.191M
Peapack-Gladstone Financial Corporation,PGC,37.22,36.87,0.35,18.86,1.97,77914,693.58M
TravelCenters of America Inc.,TA,44.78,43.76,1.02,0,-0.06,208757,677.808M
Advantage Solutions Inc.,ADV,2.08,2.05,0.03,0,-0.403,317570,662.634M
Immatics N.V.,IMTX,8.71,8.7,0.01,0,-2.03,252414,547.939M
Hypoport SE,HYQ.F,98.55,97.7,0.85,22.75,4.33,176,620.876M
W.A.G payment solutions plc,WPS.L,79.4,78.0,1.4,0.12,682.4,116289,546.995M
Horizon Bancorp Inc.,HBNC,15.08,15.17,-0.09,8.6,1.75,138723,656.292M
iStar Inc.,STAR,7.63,7.75,-0.12,0,-0.6,908502,530.101M
Pitney Bowes Inc.,PBI,3.8,3.75,0.05,0,-0.027,1048250,669.047M
